Good information,Price,Image,Url
"Молоко питьевое ультрапастеризованное I'm Happy 1,5%, 1,45л",2.26,/upload/resize_cache/photo/170_170_0/1572367.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F145559%2F
"Молоко питьевое ультрапастеризованное I'm Happy 2,5%, 1,45л",2.58,/upload/resize_cache/photo/170_170_0/1572368.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F145560%2F
"Молоко пастеризованное Асаблiвае А2 питьевое 3,6%, 0,75л",3.91,/upload/resize_cache/photo/170_170_0/1572285.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F169315%2F
"Молоко питьевое пастеризованное #Можно без лактозы 3,2%, 0,93л",2.17,/upload/resize_cache/photo/170_170_0/1557711.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F265023%2F
"Молоко питьевое пастеризованное Здравушка 2%, 0,93л",1.62,/upload/resize_cache/photo/170_170_0/1450730.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F158171%2F
"Молоко питьевое пастеризованное Здравушка 3,2%, 0,93л",1.82,/upload/resize_cache/photo/170_170_0/1568292.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F158234%2F
"Молоко питьевое стерилизованное Козье Беллакт цельное 2,5%-4,0%, 200мл",1.31,/upload/resize_cache/photo/170_170_0/1556346.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F150773%2F
"Молоко питьевое стерилизованное Простоквашино 2,5%, 1л",3.40,/upload/resize_cache/photo/170_170_0/1027912.jpg,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F167298%2F
"Молоко питьевое стерилизованное Простоквашино 3,2%, 1л",3.53,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F167299%2F
"Молоко питьевое ультрапастеризованное Брест-Литовскъ 2,8%, 1л",2.08,/bitrix/templates/our_follow/images/no_photo_medium.png,%2Fcatalog%2Fmolochnye-produkty-syr-yaytsa%2Fmoloko-267%2Fmoloko-268%2F34492%2F
